timestamp_ns,mode,workload,seed,occupancy
164000000,0,2,9,0
165000000,0,2,9,0
166000000,0,2,9,0
167000000,0,2,9,0
168000000,0,2,9,0
169000000,0,2,9,0
170000000,0,2,9,0
171000000,0,2,9,0
172000000,0,2,9,0
173000000,0,2,9,0
174000000,0,2,9,0
175000000,0,2,9,0
176000000,0,2,9,0
177000000,0,2,9,0
178000000,0,2,9,0
179000000,0,2,9,0
180000000,0,2,9,0
181000000,0,2,9,0
182000000,0,2,9,0
183000000,0,2,9,0
184000000,0,2,9,0
185000000,0,2,9,0
186000000,0,2,9,0
187000000,0,2,9,0
188000000,0,2,9,0
189000000,0,2,9,0
190000000,0,2,9,0
191000000,0,2,9,0
192000000,0,2,9,0
193000000,0,2,9,0
194000000,0,2,9,0
195000000,0,2,9,0
196000000,0,2,9,0
197000000,0,2,9,0
198000000,0,2,9,0
199000000,0,2,9,0
200000000,0,2,9,0
201000000,0,2,9,0
202000000,0,2,9,0
203000000,0,2,9,0
204000000,0,2,9,0
205000000,0,2,9,0
206000000,0,2,9,0
207000000,0,2,9,0
208000000,0,2,9,0
209000000,0,2,9,0
210000000,0,2,9,0
211000000,0,2,9,0
212000000,0,2,9,0
213000000,0,2,9,0
214000000,0,2,9,0
215000000,0,2,9,0
216000000,0,2,9,0
217000000,0,2,9,0
218000000,0,2,9,0
219000000,0,2,9,0
220000000,0,2,9,0
221000000,0,2,9,0
222000000,0,2,9,0
223000000,0,2,9,0
224000000,0,2,9,0
225000000,0,2,9,0
226000000,0,2,9,0
227000000,0,2,9,0
228000000,0,2,9,0
229000000,0,2,9,0
230000000,0,2,9,0
231000000,0,2,9,0
232000000,0,2,9,0
233000000,0,2,9,0
234000000,0,2,9,0
235000000,0,2,9,0
236000000,0,2,9,0
237000000,0,2,9,0
238000000,0,2,9,0
239000000,0,2,9,0
240000000,0,2,9,0
241000000,0,2,9,0
242000000,0,2,9,0
243000000,0,2,9,0
244000000,0,2,9,0
245000000,0,2,9,0
246000000,0,2,9,0
247000000,0,2,9,0
248000000,0,2,9,0
249000000,0,2,9,0
250000000,0,2,9,0
251000000,0,2,9,0
252000000,0,2,9,0
253000000,0,2,9,0
254000000,0,2,9,0
255000000,0,2,9,0
256000000,0,2,9,0
257000000,0,2,9,0
258000000,0,2,9,0
259000000,0,2,9,0
260000000,0,2,9,0
261000000,0,2,9,0
262000000,0,2,9,0
263000000,0,2,9,0
264000000,0,2,9,0
265000000,0,2,9,0
266000000,0,2,9,0
267000000,0,2,9,0
268000000,0,2,9,0
269000000,0,2,9,0
270000000,0,2,9,0
271000000,0,2,9,0
272000000,0,2,9,0
273000000,0,2,9,0
274000000,0,2,9,0
275000000,0,2,9,0
276000000,0,2,9,0
277000000,0,2,9,0
278000000,0,2,9,0
279000000,0,2,9,0
280000000,0,2,9,0
281000000,0,2,9,0
282000000,0,2,9,0
283000000,0,2,9,0
284000000,0,2,9,0
285000000,0,2,9,0
286000000,0,2,9,0
287000000,0,2,9,0
288000000,0,2,9,0
289000000,0,2,9,0
290000000,0,2,9,0
291000000,0,2,9,0
292000000,0,2,9,0
293000000,0,2,9,0
294000000,0,2,9,0
295000000,0,2,9,0
296000000,0,2,9,0
297000000,0,2,9,0
298000000,0,2,9,0
299000000,0,2,9,0
300000000,0,2,9,0
301000000,0,2,9,0
302000000,0,2,9,0
303000000,0,2,9,0
304000000,0,2,9,0
305000000,0,2,9,0
306000000,0,2,9,0
307000000,0,2,9,0
308000000,0,2,9,0
309000000,0,2,9,0
310000000,0,2,9,0
311000000,0,2,9,0
312000000,0,2,9,0
313000000,0,2,9,0
314000000,0,2,9,0
315000000,0,2,9,0
316000000,0,2,9,0
317000000,0,2,9,0
318000000,0,2,9,0
319000000,0,2,9,0
320000000,0,2,9,0
321000000,0,2,9,0
322000000,0,2,9,0
323000000,0,2,9,0
324000000,0,2,9,0
325000000,0,2,9,0
326000000,0,2,9,0
327000000,0,2,9,0
328000000,0,2,9,0
329000000,0,2,9,0
330000000,0,2,9,0
331000000,0,2,9,0
332000000,0,2,9,0
333000000,0,2,9,0
334000000,0,2,9,0
335000000,0,2,9,0
336000000,0,2,9,0
337000000,0,2,9,0
338000000,0,2,9,0
339000000,0,2,9,0
340000000,0,2,9,0
341000000,0,2,9,0
342000000,0,2,9,0
343000000,0,2,9,0
344000000,0,2,9,0
345000000,0,2,9,0
346000000,0,2,9,0
347000000,0,2,9,0
348000000,0,2,9,0
349000000,0,2,9,0
350000000,0,2,9,0
351000000,0,2,9,0
352000000,0,2,9,0
353000000,0,2,9,0
354000000,0,2,9,0
355000000,0,2,9,0
356000000,0,2,9,0
357000000,0,2,9,0
358000000,0,2,9,0
359000000,0,2,9,0
360000000,0,2,9,0
361000000,0,2,9,0
362000000,0,2,9,0
363000000,0,2,9,0
364000000,0,2,9,0
365000000,0,2,9,0
366000000,0,2,9,0
367000000,0,2,9,0
368000000,0,2,9,0
369000000,0,2,9,0
370000000,0,2,9,0
371000000,0,2,9,0
372000000,0,2,9,0
373000000,0,2,9,0
374000000,0,2,9,0
375000000,0,2,9,0
376000000,0,2,9,0
377000000,0,2,9,0
378000000,0,2,9,0
379000000,0,2,9,0
380000000,0,2,9,0
381000000,0,2,9,0
382000000,0,2,9,0
383000000,0,2,9,0
384000000,0,2,9,0
385000000,0,2,9,0
386000000,0,2,9,0
387000000,0,2,9,0
388000000,0,2,9,0
389000000,0,2,9,0
390000000,0,2,9,0
391000000,0,2,9,0
392000000,0,2,9,0
393000000,0,2,9,0
394000000,0,2,9,0
395000000,0,2,9,0
396000000,0,2,9,0
397000000,0,2,9,0
398000000,0,2,9,0
399000000,0,2,9,0
400000000,0,2,9,0
401000000,0,2,9,0
402000000,0,2,9,0
403000000,0,2,9,0
404000000,0,2,9,0
405000000,0,2,9,0
406000000,0,2,9,0
407000000,0,2,9,0
408000000,0,2,9,0
409000000,0,2,9,0
410000000,0,2,9,0
411000000,0,2,9,0
412000000,0,2,9,0
413000000,0,2,9,0
414000000,0,2,9,0
415000000,0,2,9,0
416000000,0,2,9,0
417000000,0,2,9,0
418000000,0,2,9,0
419000000,0,2,9,0
420000000,0,2,9,0
421000000,0,2,9,0
422000000,0,2,9,0
423000000,0,2,9,0
424000000,0,2,9,0
425000000,0,2,9,0
426000000,0,2,9,0
427000000,0,2,9,0
428000000,0,2,9,0
429000000,0,2,9,0
430000000,0,2,9,0
431000000,0,2,9,0
432000000,0,2,9,0
433000000,0,2,9,0
434000000,0,2,9,0
435000000,0,2,9,0
436000000,0,2,9,0
437000000,0,2,9,0
438000000,0,2,9,0
439000000,0,2,9,0
440000000,0,2,9,0
441000000,0,2,9,0
442000000,0,2,9,0
443000000,0,2,9,0
444000000,0,2,9,0
445000000,0,2,9,0
446000000,0,2,9,0
447000000,0,2,9,0
448000000,0,2,9,0
449000000,0,2,9,0
450000000,0,2,9,0
451000000,0,2,9,0
452000000,0,2,9,0
453000000,0,2,9,0
454000000,0,2,9,0
455000000,0,2,9,0
456000000,0,2,9,0
457000000,0,2,9,0
458000000,0,2,9,0
459000000,0,2,9,0
460000000,0,2,9,0
461000000,0,2,9,0
462000000,0,2,9,0
463000000,0,2,9,0
464000000,0,2,9,0
465000000,0,2,9,0
466000000,0,2,9,0
467000000,0,2,9,0
468000000,0,2,9,0
469000000,0,2,9,0
470000000,0,2,9,0
471000000,0,2,9,0
472000000,0,2,9,0
473000000,0,2,9,0
474000000,0,2,9,0
475000000,0,2,9,0
476000000,0,2,9,0
477000000,0,2,9,0
478000000,0,2,9,0
479000000,0,2,9,0
480000000,0,2,9,0
481000000,0,2,9,0
482000000,0,2,9,0
483000000,0,2,9,0
484000000,0,2,9,0
485000000,0,2,9,0
486000000,0,2,9,0
487000000,0,2,9,0
488000000,0,2,9,0
489000000,0,2,9,0
490000000,0,2,9,0
491000000,0,2,9,0
492000000,0,2,9,0
493000000,0,2,9,0
494000000,0,2,9,0
495000000,0,2,9,0
496000000,0,2,9,0
497000000,0,2,9,0
498000000,0,2,9,0
499000000,0,2,9,0
500000000,0,2,9,0
501000000,0,2,9,0
502000000,0,2,9,0
503000000,0,2,9,0
504000000,0,2,9,0
505000000,0,2,9,0
506000000,0,2,9,0
507000000,0,2,9,0
508000000,0,2,9,0
509000000,0,2,9,0
510000000,0,2,9,0
511000000,0,2,9,0
512000000,0,2,9,0
513000000,0,2,9,0
514000000,0,2,9,0
515000000,0,2,9,0
516000000,0,2,9,0
517000000,0,2,9,0
518000000,0,2,9,0
519000000,0,2,9,0
520000000,0,2,9,0
521000000,0,2,9,0
522000000,0,2,9,0
523000000,0,2,9,0
524000000,0,2,9,0
525000000,0,2,9,0
526000000,0,2,9,0
527000000,0,2,9,0
528000000,0,2,9,0
529000000,0,2,9,0
530000000,0,2,9,0
531000000,0,2,9,0
532000000,0,2,9,0
533000000,0,2,9,0
534000000,0,2,9,0
535000000,0,2,9,0
536000000,0,2,9,0
537000000,0,2,9,0
538000000,0,2,9,0
539000000,0,2,9,0
540000000,0,2,9,0
541000000,0,2,9,0
542000000,0,2,9,0
543000000,0,2,9,0
544000000,0,2,9,0
545000000,0,2,9,0
546000000,0,2,9,0
547000000,0,2,9,0
548000000,0,2,9,0
549000000,0,2,9,0
550000000,0,2,9,0
551000000,0,2,9,0
552000000,0,2,9,0
553000000,0,2,9,0
554000000,0,2,9,0
555000000,0,2,9,0
556000000,0,2,9,0
557000000,0,2,9,0
558000000,0,2,9,0
559000000,0,2,9,0
560000000,0,2,9,0
561000000,0,2,9,0
562000000,0,2,9,0
563000000,0,2,9,0
564000000,0,2,9,0
565000000,0,2,9,0
566000000,0,2,9,0
567000000,0,2,9,0
568000000,0,2,9,0
569000000,0,2,9,0
570000000,0,2,9,0
571000000,0,2,9,0
572000000,0,2,9,0
573000000,0,2,9,0
574000000,0,2,9,0
575000000,0,2,9,0
576000000,0,2,9,0
577000000,0,2,9,0
578000000,0,2,9,0
579000000,0,2,9,0
580000000,0,2,9,0
581000000,0,2,9,0
582000000,0,2,9,0
583000000,0,2,9,0
584000000,0,2,9,0
585000000,0,2,9,0
586000000,0,2,9,0
587000000,0,2,9,0
588000000,0,2,9,0
589000000,0,2,9,0
590000000,0,2,9,0
591000000,0,2,9,0
592000000,0,2,9,0
593000000,0,2,9,0
594000000,0,2,9,0
595000000,0,2,9,0
596000000,0,2,9,0
597000000,0,2,9,0
598000000,0,2,9,0
599000000,0,2,9,0
600000000,0,2,9,0
601000000,0,2,9,0
602000000,0,2,9,0
603000000,0,2,9,0
604000000,0,2,9,0
605000000,0,2,9,0
606000000,0,2,9,0
607000000,0,2,9,0
608000000,0,2,9,0
609000000,0,2,9,0
610000000,0,2,9,0
611000000,0,2,9,0
612000000,0,2,9,0
613000000,0,2,9,0
614000000,0,2,9,0
615000000,0,2,9,0
616000000,0,2,9,0
617000000,0,2,9,0
618000000,0,2,9,0
619000000,0,2,9,0
620000000,0,2,9,0
621000000,0,2,9,0
622000000,0,2,9,0
623000000,0,2,9,0
624000000,0,2,9,0
625000000,0,2,9,0
626000000,0,2,9,0
627000000,0,2,9,0
628000000,0,2,9,0
629000000,0,2,9,0
630000000,0,2,9,0
631000000,0,2,9,0
632000000,0,2,9,0
633000000,0,2,9,0
634000000,0,2,9,0
635000000,0,2,9,0
636000000,0,2,9,0
637000000,0,2,9,0
638000000,0,2,9,0
639000000,0,2,9,0
640000000,0,2,9,0
641000000,0,2,9,0
642000000,0,2,9,0
643000000,0,2,9,0
644000000,0,2,9,0
645000000,0,2,9,0
646000000,0,2,9,0
647000000,0,2,9,0
648000000,0,2,9,0
649000000,0,2,9,0
650000000,0,2,9,0
651000000,0,2,9,0
652000000,0,2,9,0
653000000,0,2,9,0
654000000,0,2,9,0
655000000,0,2,9,0
656000000,0,2,9,0
657000000,0,2,9,0
658000000,0,2,9,0
659000000,0,2,9,0
660000000,0,2,9,0
661000000,0,2,9,0
662000000,0,2,9,0
663000000,0,2,9,0
664000000,0,2,9,0
665000000,0,2,9,0
666000000,0,2,9,0
667000000,0,2,9,0
668000000,0,2,9,0
669000000,0,2,9,0
670000000,0,2,9,0
671000000,0,2,9,0
672000000,0,2,9,0
673000000,0,2,9,0
674000000,0,2,9,0
675000000,0,2,9,0
676000000,0,2,9,0
677000000,0,2,9,0
678000000,0,2,9,0
679000000,0,2,9,0
680000000,0,2,9,0
681000000,0,2,9,0
682000000,0,2,9,0
683000000,0,2,9,0
684000000,0,2,9,0
685000000,0,2,9,0
686000000,0,2,9,0
687000000,0,2,9,0
688000000,0,2,9,0
689000000,0,2,9,0
690000000,0,2,9,0
691000000,0,2,9,0
692000000,0,2,9,0
693000000,0,2,9,0
694000000,0,2,9,0
695000000,0,2,9,0
696000000,0,2,9,0
697000000,0,2,9,0
698000000,0,2,9,0
699000000,0,2,9,0
700000000,0,2,9,0
701000000,0,2,9,0
702000000,0,2,9,0
703000000,0,2,9,0
704000000,0,2,9,0
705000000,0,2,9,0
706000000,0,2,9,0
707000000,0,2,9,0
708000000,0,2,9,0
709000000,0,2,9,0
710000000,0,2,9,0
711000000,0,2,9,0
712000000,0,2,9,0
713000000,0,2,9,0
714000000,0,2,9,0
715000000,0,2,9,0
716000000,0,2,9,0
717000000,0,2,9,0
718000000,0,2,9,0
719000000,0,2,9,0
720000000,0,2,9,0
721000000,0,2,9,0
722000000,0,2,9,0
723000000,0,2,9,0
724000000,0,2,9,0
725000000,0,2,9,0
726000000,0,2,9,0
727000000,0,2,9,0
728000000,0,2,9,0
729000000,0,2,9,0
730000000,0,2,9,0
731000000,0,2,9,0
732000000,0,2,9,0
733000000,0,2,9,0
734000000,0,2,9,0
735000000,0,2,9,0
736000000,0,2,9,0
737000000,0,2,9,0
738000000,0,2,9,0
739000000,0,2,9,0
740000000,0,2,9,0
741000000,0,2,9,0
742000000,0,2,9,0
743000000,0,2,9,0
744000000,0,2,9,0
745000000,0,2,9,0
746000000,0,2,9,0
747000000,0,2,9,0
748000000,0,2,9,0
749000000,0,2,9,0
750000000,0,2,9,0
751000000,0,2,9,0
752000000,0,2,9,0
753000000,0,2,9,0
754000000,0,2,9,0
755000000,0,2,9,0
756000000,0,2,9,0
757000000,0,2,9,0
758000000,0,2,9,0
759000000,0,2,9,0
760000000,0,2,9,0
761000000,0,2,9,0
762000000,0,2,9,0
763000000,0,2,9,0
764000000,0,2,9,0
765000000,0,2,9,0
766000000,0,2,9,0
767000000,0,2,9,0
768000000,0,2,9,0
769000000,0,2,9,0
770000000,0,2,9,0
771000000,0,2,9,0
772000000,0,2,9,0
773000000,0,2,9,0
774000000,0,2,9,0
775000000,0,2,9,0
776000000,0,2,9,0
777000000,0,2,9,0
778000000,0,2,9,0
779000000,0,2,9,0
780000000,0,2,9,0
781000000,0,2,9,0
782000000,0,2,9,0
783000000,0,2,9,0
784000000,0,2,9,0
785000000,0,2,9,0
786000000,0,2,9,0
787000000,0,2,9,0
788000000,0,2,9,0
789000000,0,2,9,0
790000000,0,2,9,0
791000000,0,2,9,0
792000000,0,2,9,0
793000000,0,2,9,0
794000000,0,2,9,0
795000000,0,2,9,0
796000000,0,2,9,0
797000000,0,2,9,0
798000000,0,2,9,0
799000000,0,2,9,0
800000000,0,2,9,0
801000000,0,2,9,0
802000000,0,2,9,0
803000000,0,2,9,0
804000000,0,2,9,0
805000000,0,2,9,0
806000000,0,2,9,0
807000000,0,2,9,0
808000000,0,2,9,0
809000000,0,2,9,0
810000000,0,2,9,0
811000000,0,2,9,0
812000000,0,2,9,0
813000000,0,2,9,0
814000000,0,2,9,0
815000000,0,2,9,0
816000000,0,2,9,0
817000000,0,2,9,0
818000000,0,2,9,0
819000000,0,2,9,0
820000000,0,2,9,0
821000000,0,2,9,0
822000000,0,2,9,0
823000000,0,2,9,0
824000000,0,2,9,0
825000000,0,2,9,0
826000000,0,2,9,0
827000000,0,2,9,0
828000000,0,2,9,0
829000000,0,2,9,0
830000000,0,2,9,0
831000000,0,2,9,0
832000000,0,2,9,0
833000000,0,2,9,0
834000000,0,2,9,0
835000000,0,2,9,0
836000000,0,2,9,0
837000000,0,2,9,0
838000000,0,2,9,0
839000000,0,2,9,0
840000000,0,2,9,0
841000000,0,2,9,0
842000000,0,2,9,0
843000000,0,2,9,0
844000000,0,2,9,0
845000000,0,2,9,0
846000000,0,2,9,0
847000000,0,2,9,0
848000000,0,2,9,0
849000000,0,2,9,0
850000000,0,2,9,0
851000000,0,2,9,0
852000000,0,2,9,0
853000000,0,2,9,0
854000000,0,2,9,0
855000000,0,2,9,0
856000000,0,2,9,0
857000000,0,2,9,0
858000000,0,2,9,0
859000000,0,2,9,0
860000000,0,2,9,0
861000000,0,2,9,0
862000000,0,2,9,0
863000000,0,2,9,0
864000000,0,2,9,0
865000000,0,2,9,0
866000000,0,2,9,0
867000000,0,2,9,0
868000000,0,2,9,0
869000000,0,2,9,0
870000000,0,2,9,0
871000000,0,2,9,0
872000000,0,2,9,0
873000000,0,2,9,0
874000000,0,2,9,0
875000000,0,2,9,0
876000000,0,2,9,0
877000000,0,2,9,0
878000000,0,2,9,0
879000000,0,2,9,0
880000000,0,2,9,0
881000000,0,2,9,0
882000000,0,2,9,0
883000000,0,2,9,0
884000000,0,2,9,0
885000000,0,2,9,0
886000000,0,2,9,0
887000000,0,2,9,0
888000000,0,2,9,0
889000000,0,2,9,0
890000000,0,2,9,0
891000000,0,2,9,0
892000000,0,2,9,0
893000000,0,2,9,0
894000000,0,2,9,0
895000000,0,2,9,0
896000000,0,2,9,0
897000000,0,2,9,0
898000000,0,2,9,0
899000000,0,2,9,0
900000000,0,2,9,0
901000000,0,2,9,0
902000000,0,2,9,0
903000000,0,2,9,0
904000000,0,2,9,0
905000000,0,2,9,0
906000000,0,2,9,0
907000000,0,2,9,0
908000000,0,2,9,0
909000000,0,2,9,0
910000000,0,2,9,0
911000000,0,2,9,0
912000000,0,2,9,0
913000000,0,2,9,0
914000000,0,2,9,0
915000000,0,2,9,0
916000000,0,2,9,0
917000000,0,2,9,0
918000000,0,2,9,0
919000000,0,2,9,0
920000000,0,2,9,0
921000000,0,2,9,0
922000000,0,2,9,0
923000000,0,2,9,0
924000000,0,2,9,0
925000000,0,2,9,0
926000000,0,2,9,0
927000000,0,2,9,0
928000000,0,2,9,0
929000000,0,2,9,0
930000000,0,2,9,0
931000000,0,2,9,0
932000000,0,2,9,0
933000000,0,2,9,0
934000000,0,2,9,0
935000000,0,2,9,0
936000000,0,2,9,0
937000000,0,2,9,0
938000000,0,2,9,0
939000000,0,2,9,0
940000000,0,2,9,0
941000000,0,2,9,0
942000000,0,2,9,0
943000000,0,2,9,0
944000000,0,2,9,0
945000000,0,2,9,0
946000000,0,2,9,0
947000000,0,2,9,0
948000000,0,2,9,0
949000000,0,2,9,0
950000000,0,2,9,0
951000000,0,2,9,0
952000000,0,2,9,0
953000000,0,2,9,0
954000000,0,2,9,0
955000000,0,2,9,0
956000000,0,2,9,0
957000000,0,2,9,0
958000000,0,2,9,0
959000000,0,2,9,0
960000000,0,2,9,0
961000000,0,2,9,0
962000000,0,2,9,0
963000000,0,2,9,0
964000000,0,2,9,0
965000000,0,2,9,0
966000000,0,2,9,0
967000000,0,2,9,0
968000000,0,2,9,0
969000000,0,2,9,0
970000000,0,2,9,0
971000000,0,2,9,0
972000000,0,2,9,0
973000000,0,2,9,0
974000000,0,2,9,0
975000000,0,2,9,0
976000000,0,2,9,0
977000000,0,2,9,0
978000000,0,2,9,0
979000000,0,2,9,0
980000000,0,2,9,0
981000000,0,2,9,0
982000000,0,2,9,0
983000000,0,2,9,0
984000000,0,2,9,0
985000000,0,2,9,0
986000000,0,2,9,0
987000000,0,2,9,0
988000000,0,2,9,0
989000000,0,2,9,0
990000000,0,2,9,0
991000000,0,2,9,0
992000000,0,2,9,0
993000000,0,2,9,0
994000000,0,2,9,0
995000000,0,2,9,0
996000000,0,2,9,0
997000000,0,2,9,0
998000000,0,2,9,0
999000000,0,2,9,0
1000000,0,3,9,0
2000000,0,3,9,0
3000000,0,3,9,0
4000000,0,3,9,0
5000000,0,3,9,0
6000000,0,3,9,0
7000000,0,3,9,0
8000000,0,3,9,0
9000000,0,3,9,0
10000000,0,3,9,0
11000000,0,3,9,0
12000000,0,3,9,0
13000000,0,3,9,0
14000000,0,3,9,0
15000000,0,3,9,0
16000000,0,3,9,0
17000000,0,3,9,0
18000000,0,3,9,0
19000000,0,3,9,0
20000000,0,3,9,0
21000000,0,3,9,0
22000000,0,3,9,0
23000000,0,3,9,0
24000000,0,3,9,0
25000000,0,3,9,0
26000000,0,3,9,0
27000000,0,3,9,0
28000000,0,3,9,0
29000000,0,3,9,0
30000000,0,3,9,0
31000000,0,3,9,0
32000000,0,3,9,0
33000000,0,3,9,0
34000000,0,3,9,0
35000000,0,3,9,0
36000000,0,3,9,0
37000000,0,3,9,0
38000000,0,3,9,0
39000000,0,3,9,0
40000000,0,3,9,0
41000000,0,3,9,0
42000000,0,3,9,0
43000000,0,3,9,0
44000000,0,3,9,0
45000000,0,3,9,0
46000000,0,3,9,0
47000000,0,3,9,0
48000000,0,3,9,0
49000000,0,3,9,0
50000000,0,3,9,0
51000000,0,3,9,0
52000000,0,3,9,0
53000000,0,3,9,0
54000000,0,3,9,0
55000000,0,3,9,0
56000000,0,3,9,0
57000000,0,3,9,0
58000000,0,3,9,0
59000000,0,3,9,0
60000000,0,3,9,0
61000000,0,3,9,0
62000000,0,3,9,0
63000000,0,3,9,0
64000000,0,3,9,0
65000000,0,3,9,0
66000000,0,3,9,0
67000000,0,3,9,0
68000000,0,3,9,0
69000000,0,3,9,0
70000000,0,3,9,0
71000000,0,3,9,0
72000000,0,3,9,0
73000000,0,3,9,0
74000000,0,3,9,0
75000000,0,3,9,0
76000000,0,3,9,0
77000000,0,3,9,0
78000000,0,3,9,0
79000000,0,3,9,0
80000000,0,3,9,0
81000000,0,3,9,0
82000000,0,3,9,0
83000000,0,3,9,0
84000000,0,3,9,0
85000000,0,3,9,0
86000000,0,3,9,0
87000000,0,3,9,0
88000000,0,3,9,0
89000000,0,3,9,0
90000000,0,3,9,0
91000000,0,3,9,0
92000000,0,3,9,0
93000000,0,3,9,0
94000000,0,3,9,0
95000000,0,3,9,0
96000000,0,3,9,0
97000000,0,3,9,0
98000000,0,3,9,0
99000000,0,3,9,0
100000000,0,3,9,0
101000000,0,3,9,0
102000000,0,3,9,0
103000000,0,3,9,0
104000000,0,3,9,0
105000000,0,3,9,0
106000000,0,3,9,0
107000000,0,3,9,0
108000000,0,3,9,0
109000000,0,3,9,0
110000000,0,3,9,0
111000000,0,3,9,0
112000000,0,3,9,0
113000000,0,3,9,0
114000000,0,3,9,0
115000000,0,3,9,0
116000000,0,3,9,0
117000000,0,3,9,0
118000000,0,3,9,0
119000000,0,3,9,0
120000000,0,3,9,0
121000000,0,3,9,0
122000000,0,3,9,0
123000000,0,3,9,0
124000000,0,3,9,0
125000000,0,3,9,0
126000000,0,3,9,0
127000000,0,3,9,0
128000000,0,3,9,0
129000000,0,3,9,0
130000000,0,3,9,0
131000000,0,3,9,0
132000000,0,3,9,0
133000000,0,3,9,0
134000000,0,3,9,0
135000000,0,3,9,0
136000000,0,3,9,0
137000000,0,3,9,0
138000000,0,3,9,0
139000000,0,3,9,0
140000000,0,3,9,0
141000000,0,3,9,0
142000000,0,3,9,0
143000000,0,3,9,0
144000000,0,3,9,0
145000000,0,3,9,0
146000000,0,3,9,0
147000000,0,3,9,0
148000000,0,3,9,0
149000000,0,3,9,0
150000000,0,3,9,0
151000000,0,3,9,0
152000000,0,3,9,0
153000000,0,3,9,0
154000000,0,3,9,0
155000000,0,3,9,0
156000000,0,3,9,0
157000000,0,3,9,0
158000000,0,3,9,0
159000000,0,3,9,0
160000000,0,3,9,0
161000000,0,3,9,0
162000000,0,3,9,0
163000000,0,3,9,0
164000000,0,3,9,0
165000000,0,3,9,0
166000000,0,3,9,0
167000000,0,3,9,0
168000000,0,3,9,0
169000000,0,3,9,0
170000000,0,3,9,0
171000000,0,3,9,0
172000000,0,3,9,0
173000000,0,3,9,0
174000000,0,3,9,0
175000000,0,3,9,0
176000000,0,3,9,0
177000000,0,3,9,0
178000000,0,3,9,0
179000000,0,3,9,0
180000000,0,3,9,0
181000000,0,3,9,0
182000000,0,3,9,0
183000000,0,3,9,0
184000000,0,3,9,0
185000000,0,3,9,0
186000000,0,3,9,0
187000000,0,3,9,0
188000000,0,3,9,0
189000000,0,3,9,0
190000000,0,3,9,0
191000000,0,3,9,0
192000000,0,3,9,0
193000000,0,3,9,0
194000000,0,3,9,0
195000000,0,3,9,0
196000000,0,3,9,0
197000000,0,3,9,0
198000000,0,3,9,0
199000000,0,3,9,0
200000000,0,3,9,0
201000000,0,3,9,0
202000000,0,3,9,0
203000000,0,3,9,0
204000000,0,3,9,0
205000000,0,3,9,0
206000000,0,3,9,0
207000000,0,3,9,0
208000000,0,3,9,0
209000000,0,3,9,0
210000000,0,3,9,0
211000000,0,3,9,0
212000000,0,3,9,0
213000000,0,3,9,0
214000000,0,3,9,0
215000000,0,3,9,0
216000000,0,3,9,0
217000000,0,3,9,0
218000000,0,3,9,0
219000000,0,3,9,0
220000000,0,3,9,0
221000000,0,3,9,0
222000000,0,3,9,0
223000000,0,3,9,0
224000000,0,3,9,0
225000000,0,3,9,0
226000000,0,3,9,0
227000000,0,3,9,0
228000000,0,3,9,0
229000000,0,3,9,0
230000000,0,3,9,0
231000000,0,3,9,0
232000000,0,3,9,0
233000000,0,3,9,0
234000000,0,3,9,0
235000000,0,3,9,0
236000000,0,3,9,0
237000000,0,3,9,0
238000000,0,3,9,0
239000000,0,3,9,0
240000000,0,3,9,0
241000000,0,3,9,0
242000000,0,3,9,0
243000000,0,3,9,0
244000000,0,3,9,0
245000000,0,3,9,0
246000000,0,3,9,0
247000000,0,3,9,0
248000000,0,3,9,0
249000000,0,3,9,0
250000000,0,3,9,0
251000000,0,3,9,0
252000000,0,3,9,0
253000000,0,3,9,0
254000000,0,3,9,0
255000000,0,3,9,0
256000000,0,3,9,0
257000000,0,3,9,0
258000000,0,3,9,0
259000000,0,3,9,0
260000000,0,3,9,0
261000000,0,3,9,0
262000000,0,3,9,0
263000000,0,3,9,0
264000000,0,3,9,0
265000000,0,3,9,0
266000000,0,3,9,0
267000000,0,3,9,0
268000000,0,3,9,0
269000000,0,3,9,0
270000000,0,3,9,0
271000000,0,3,9,0
272000000,0,3,9,0
273000000,0,3,9,0
274000000,0,3,9,0
275000000,0,3,9,0
276000000,0,3,9,0
277000000,0,3,9,0
278000000,0,3,9,0
279000000,0,3,9,0
280000000,0,3,9,0
281000000,0,3,9,0
282000000,0,3,9,0
283000000,0,3,9,0
284000000,0,3,9,0
285000000,0,3,9,0
286000000,0,3,9,0
287000000,0,3,9,0
288000000,0,3,9,0
289000000,0,3,9,0
290000000,0,3,9,0
291000000,0,3,9,0
292000000,0,3,9,0
293000000,0,3,9,0
294000000,0,3,9,0
295000000,0,3,9,0
296000000,0,3,9,0
297000000,0,3,9,0
298000000,0,3,9,0
299000000,0,3,9,0
300000000,0,3,9,0
301000000,0,3,9,0
302000000,0,3,9,0
303000000,0,3,9,0
304000000,0,3,9,0
305000000,0,3,9,0
306000000,0,3,9,0
307000000,0,3,9,0
308000000,0,3,9,0
309000000,0,3,9,0
310000000,0,3,9,0
311000000,0,3,9,0
312000000,0,3,9,0
313000000,0,3,9,0
314000000,0,3,9,0
315000000,0,3,9,0
316000000,0,3,9,0
317000000,0,3,9,0
318000000,0,3,9,0
319000000,0,3,9,0
320000000,0,3,9,0
321000000,0,3,9,0
322000000,0,3,9,0
323000000,0,3,9,0
324000000,0,3,9,0
325000000,0,3,9,0
326000000,0,3,9,0
327000000,0,3,9,0
328000000,0,3,9,0
